Scenarios,Camps Name,Mu,delta_D,alpha,delta_R,lambda_C,lambda_S,omega,Supply,Optimal Allocated Aid
Scenario 15,Camp 2,1.0,40.0,0.5,1.0,642.6,2860.68,2372.3178989331122,30287,1524.0
Scenario 15,Camp 3,1.0,40.0,0.5,1.0,1071.0,2817.84,3952.6340481892757,30287,2538.0
Scenario 15,Camp 4,1.0,40.0,0.5,1.0,4282.8,4500.96,15800.577294040671,30287,10148.0
Scenario 15,Camp 5,1.0,40.0,0.5,1.0,2483.6,742.52,9163.54532821388,30287,5885.0
Scenario 15,Camp 6,1.0,40.0,0.5,1.0,1698.4,2074.0,6267.037123649563,30287,4024.0
Scenario 15,Camp 7,1.0,40.0,0.5,1.0,2174.4,1628.42,8022.9437834086575,30287,5152.0
Scenario 16,Camp 1,1.0,50.0,0.5,1.0,428.4,2882.1,1677.865906939423,30287,1016.0
Scenario 16,Camp 2,1.0,50.0,0.5,1.0,642.6,2860.68,2515.8214878681842,30287,1524.0
Scenario 16,Camp 3,1.0,50.0,0.5,1.0,1071.0,2817.84,4191.732346067994,30287,2538.0
Scenario 16,Camp 4,1.0,50.0,0.5,1.0,4282.8,4500.96,16756.368063043665,30287,10148.0
Scenario 16,Camp 5,1.0,50.0,0.5,1.0,2483.6,742.52,9717.85621654773,30287,5885.0
Scenario 16,Camp 6,1.0,50.0,0.5,1.0,1698.4,2074.0,6646.135692031777,30287,4024.0
Scenario 16,Camp 7,1.0,50.0,0.5,1.0,2174.4,1628.42,8508.258684611925,30287,5152.0
Scenario 17,Camp 1,1.33,20.0,0.5,1.0,428.4,2882.1,802.9363295543967,22772,956.0
Scenario 17,Camp 2,1.33,20.0,0.5,1.0,642.6,2860.68,1203.7828012098105,22772,1136.0
Scenario 17,Camp 3,1.33,20.0,0.5,1.0,1071.0,2817.84,2005.47548777752,22772,1892.0
Scenario 17,Camp 4,1.33,20.0,0.5,1.0,4282.8,4500.96,8015.923907037809,22772,7562.0
Scenario 17,Camp 5,1.33,20.0,0.5,1.0,2483.6,742.52,4648.965005961348,22772,4386.0
Scenario 17,Camp 6,1.33,20.0,0.5,1.0,1698.4,2074.0,3179.569616438952,22772,3000.0
Scenario 17,Camp 7,1.33,20.0,0.5,1.0,2174.4,1628.42,4070.3391132360066,22772,3840.0
Scenario 18,Camp 1,1.33,30.0,0.5,1.0,428.4,2882.1,933.7414027197503,22772,764.0
Scenario 18,Camp 2,1.33,30.0,0.5,1.0,642.6,2860.68,1399.889131925758,22772,1146.0
Scenario 18,Camp 3,1.33,30.0,0.5,1.0,1071.0,2817.84,2332.1842917690446,22772,1908.0
Scenario 18,Camp 4,1.33,30.0,0.5,1.0,4282.8,4500.96,9321.785249405868,22772,7630.0
Scenario 18,Camp 5,1.33,30.0,0.5,1.0,2483.6,742.52,5406.320459145815,22772,4424.0
Scenario 18,Camp 6,1.33,30.0,0.5,1.0,1698.4,2074.0,3697.5482169880706,22772,3026.0
Scenario 18,Camp 7,1.33,30.0,0.5,1.0,2174.4,1628.42,4733.431547738393,22772,3874.0
Scenario 19,Camp 1,1.33,40.0,0.5,1.0,428.4,2882.1,1026.5490790966219,22772,764.0
Scenario 19,Camp 2,1.33,40.0,0.5,1.0,642.6,2860.68,1539.0287878742251,22772,1146.0
Scenario 19,Camp 3,1.33,40.0,0.5,1.0,1071.0,2817.84,2563.9878771849603,22772,1908.0
Scenario 19,Camp 4,1.33,40.0,0.5,1.0,4282.8,4500.96,10248.308616755374,22772,7630.0
Scenario 19,Camp 5,1.33,40.0,0.5,1.0,2483.6,742.52,5943.672704746792,22772,4424.0
Scenario 19,Camp 6,1.33,40.0,0.5,1.0,1698.4,2074.0,4065.059882756095,22772,3026.0
Scenario 19,Camp 7,1.33,40.0,0.5,1.0,2174.4,1628.42,5203.903117227562,22772,3874.0
Scenario 2,Camp 1,1.0,30.0,0.25,1.0,428.4,2882.1,987.5782990030812,30287,2057.0
Scenario 2,Camp 2,1.0,30.0,0.25,1.0,642.6,2860.68,1480.792174933896,30287,2565.0
Scenario 2,Camp 3,1.0,30.0,0.25,1.0,1071.0,2817.84,2467.2197480650525,30287,3459.0
Scenario 2,Camp 4,1.0,30.0,0.25,1.0,4282.8,4500.96,9862.6626840256,30287,8974.0
Scenario 2,Camp 5,1.0,30.0,0.25,1.0,2483.6,742.52,5719.851552261867,30287,5153.999999999985
Scenario 2,Camp 6,1.0,30.0,0.25,1.0,1698.4,2074.0,3911.861701542623,30287,3564.000000749824
Scenario 2,Camp 7,1.0,30.0,0.25,1.0,2174.4,1628.42,5007.892230526501,30287,4513.999999250191
Scenario 20,Camp 1,1.33,50.0,0.5,1.0,428.4,2882.1,1098.536305549275,22772,764.0
Scenario 20,Camp 2,1.33,50.0,0.5,1.0,642.6,2860.68,1646.9538896797342,22772,1146.0
Scenario 20,Camp 3,1.33,50.0,0.5,1.0,1071.0,2817.84,2743.7887066778862,22772,1908.0
Scenario 20,Camp 4,1.33,50.0,0.5,1.0,4282.8,4500.96,10966.975973410426,22772,7630.0
Scenario 20,Camp 5,1.33,50.0,0.5,1.0,2483.6,742.52,6360.47548765279,22772,4424.0
Scenario 20,Camp 6,1.33,50.0,0.5,1.0,1698.4,2074.0,4350.124077232876,22772,3026.0
Scenario 20,Camp 7,1.33,50.0,0.5,1.0,2174.4,1628.42,5568.829217465454,22772,3874.0
Scenario 21,Camp 1,2.0,20.0,0.5,1.0,428.4,2882.1,407.31092440865274,15143,571.0
Scenario 21,Camp 2,2.0,20.0,0.5,1.0,642.6,2860.68,610.4927198577443,15143,819.0
Scenario 21,Camp 3,2.0,20.0,0.5,1.0,1071.0,2817.84,1016.8560169485006,15143,1311.0
Scenario 21,Camp 4,2.0,20.0,0.5,1.0,4282.8,4500.96,4063.441221816878,15143,5041.0
Scenario 21,Camp 5,2.0,20.0,0.5,1.0,2483.6,742.52,2356.792029965021,15143,2855.0
Scenario 21,Camp 6,2.0,20.0,0.5,1.0,1698.4,2074.0,1611.9826650997184,15143,2009.0
Scenario 21,Camp 7,2.0,20.0,0.5,1.0,2174.4,1628.42,2063.497262213873,15143,2537.0
Scenario 22,Camp 1,2.0,30.0,0.5,1.0,428.4,2882.1,494.3641257426343,15143,494.3641257426343
Scenario 22,Camp 2,2.0,30.0,0.5,1.0,642.6,2860.68,740.9712866476343,15143,740.9712866476343
Scenario 22,Camp 3,2.0,30.0,0.5,1.0,1071.0,2817.84,1234.1852518557291,15143,1234.1852518557291
Scenario 22,Camp 4,2.0,30.0,0.5,1.0,4282.8,4500.96,4931.906921098551,15143,5047.0
Scenario 22,Camp 5,2.0,30.0,0.5,1.0,2483.6,742.52,2860.5013065692156,15143,3039.0
Scenario 22,Camp 6,2.0,30.0,0.5,1.0,1698.4,2074.0,1956.5063276937112,15143,1984.4793357540025
Scenario 22,Camp 7,2.0,30.0,0.5,1.0,2174.4,1628.42,2504.521629238702,15143,2603.0
Scenario 23,Camp 1,2.0,40.0,0.5,1.0,428.4,2882.1,556.1293550373858,15143,508.0
Scenario 23,Camp 2,2.0,40.0,0.5,1.0,642.6,2860.68,833.5473030644163,15143,762.0
Scenario 23,Camp 3,2.0,40.0,0.5,1.0,1071.0,2817.84,1388.38279796318,15143,1270.0
Scenario 23,Camp 4,2.0,40.0,0.5,1.0,4282.8,4500.96,5548.093140890333,15143,5073.0
Scenario 23,Camp 5,2.0,40.0,0.5,1.0,2483.6,742.52,3217.8887258783643,15143,2942.0
Scenario 23,Camp 6,2.0,40.0,0.5,1.0,1698.4,2074.0,2200.949756441908,15143,2012.0
Scenario 23,Camp 7,2.0,40.0,0.5,1.0,2174.4,1628.42,2817.4333974039464,15143,2576.0
Scenario 24,Camp 1,2.0,50.0,0.5,1.0,428.4,2882.1,604.0381888938209,15143,508.0
Scenario 24,Camp 2,2.0,50.0,0.5,1.0,642.6,2860.68,905.3548400920347,15143,762.0
Scenario 24,Camp 3,2.0,50.0,0.5,1.0,1071.0,2817.84,1507.9877067748703,15143,1270.0
Scenario 24,Camp 4,2.0,50.0,0.5,1.0,4282.8,4500.96,6026.044304768518,15143,5073.0
Scenario 24,Camp 5,2.0,50.0,0.5,1.0,2483.6,742.52,3495.0999447075496,15143,2942.0
Scenario 24,Camp 6,2.0,50.0,0.5,1.0,1698.4,2074.0,2390.5548101090503,15143,2012.0
Scenario 24,Camp 7,2.0,50.0,0.5,1.0,2174.4,1628.42,3060.146621072428,15143,2576.0
Scenario 25,Camp 1,1.0,20.0,0.75,1.0,428.4,2882.1,1756.0635872240807,30287,1016.0
Scenario 25,Camp 2,1.0,20.0,0.75,1.0,642.6,2860.68,2633.072457417022,30287,1524.0
Scenario 25,Camp 3,1.0,20.0,0.75,1.0,1071.0,2817.84,4387.089879993091,30287,2538.0
Scenario 25,Camp 4,1.0,20.0,0.75,1.0,4282.8,4500.96,17537.305983712224,30287,10148.0
Scenario 25,Camp 5,1.0,20.0,0.75,1.0,2483.6,742.52,10170.761189663264,30287,5885.0
Scenario 25,Camp 6,1.0,20.0,0.75,1.0,1698.4,2074.0,6955.881775925903,30287,4024.0
Scenario 25,Camp 7,1.0,20.0,0.75,1.0,2174.4,1628.42,8904.789831497232,30287,5152.0
Scenario 26,Camp 1,1.0,30.0,0.75,1.0,428.4,2882.1,1929.9674933116014,30287,1016.0
Scenario 26,Camp 2,1.0,30.0,0.75,1.0,642.6,2860.68,2893.827015900933,30287,1524.0
Scenario 26,Camp 3,1.0,30.0,0.75,1.0,1071.0,2817.84,4821.545711796907,30287,2538.0
Scenario 26,Camp 4,1.0,30.0,0.75,1.0,4282.8,4500.96,19274.034673383776,30287,10148.0
Scenario 26,Camp 5,1.0,30.0,0.75,1.0,2483.6,742.52,11177.97705111265,30287,5885.0
Scenario 26,Camp 6,1.0,30.0,0.75,1.0,1698.4,2074.0,7644.726428202243,30287,4024.0
Scenario 26,Camp 7,1.0,30.0,0.75,1.0,2174.4,1628.42,9786.635879585809,30287,5152.0
Scenario 27,Camp 1,1.0,40.0,0.75,1.0,428.4,2882.1,2053.3542782908203,30287,1016.0
Scenario 27,Camp 2,1.0,40.0,0.75,1.0,642.6,2860.68,3078.8353194166307,30287,1524.0
Scenario 27,Camp 3,1.0,40.0,0.75,1.0,1071.0,2817.84,5129.797030055203,30287,2538.0
Scenario 27,Camp 4,1.0,40.0,0.75,1.0,4282.8,4500.96,20506.263288719758,30287,10148.0
Scenario 27,Camp 5,1.0,40.0,0.75,1.0,2483.6,742.52,11892.608077639272,30287,5885.0
Scenario 27,Camp 6,1.0,40.0,0.75,1.0,1698.4,2074.0,8133.469486979373,30287,4024.0
Scenario 27,Camp 7,1.0,40.0,0.75,1.0,2174.4,1628.42,10412.31560793831,30287,5152.0
Scenario 28,Camp 1,1.0,50.0,0.75,1.0,428.4,2882.1,2149.060504093683,30287,1016.0
Scenario 28,Camp 2,1.0,50.0,0.75,1.0,642.6,2860.68,3222.3389083517027,30287,1524.0
Scenario 28,Camp 3,1.0,50.0,0.75,1.0,1071.0,2817.84,5368.895327933921,30287,2538.0
Scenario 28,Camp 4,1.0,50.0,0.75,1.0,4282.8,4500.96,21462.05405772275,30287,10148.0
Scenario 28,Camp 5,1.0,50.0,0.75,1.0,2483.6,742.52,12446.91896597312,30287,5882.0
Scenario 28,Camp 6,1.0,50.0,0.75,1.0,1698.4,2074.0,8512.568055361586,30287,4026.0
Scenario 28,Camp 7,1.0,50.0,0.75,1.0,2174.4,1628.42,10897.630509141578,30287,5152.0
Scenario 29,Camp 1,1.33,20.0,0.75,1.0,428.4,2882.1,1049.362261316763,22772,764.0
Scenario 29,Camp 2,1.33,20.0,0.75,1.0,642.6,2860.68,1573.2308975392739,22772,1146.0
Scenario 29,Camp 3,1.33,20.0,0.75,1.0,1071.0,2817.84,2620.9678344451895,22772,1908.0
Scenario 29,Camp 4,1.33,20.0,0.75,1.0,4282.8,4500.96,10476.058596452425,22772,7630.0
Scenario 29,Camp 5,1.33,20.0,0.75,1.0,2483.6,742.52,6075.759997240973,22772,4424.0
Scenario 29,Camp 6,1.33,20.0,0.75,1.0,1698.4,2074.0,4155.39842937747,22772,3026.0
Scenario 29,Camp 7,1.33,20.0,0.75,1.0,2174.4,1628.42,5319.550378996815,22772,3874.0
Scenario 3,Camp 1,1.0,40.0,0.25,1.0,428.4,2882.1,1110.9650839823,30287,1793.0
Scenario 3,Camp 2,1.0,40.0,0.25,1.0,642.6,2860.68,1665.8004784495936,30287,2293.0
Scenario 3,Camp 3,1.0,40.0,0.25,1.0,1071.0,2817.84,2775.471066323348,30287,2396.0
Scenario 3,Camp 4,1.0,40.0,0.25,1.0,4282.8,4500.96,11094.891299361581,30287,9583.0
Scenario 3,Camp 5,1.0,40.0,0.25,1.0,2483.6,742.52,6434.482578788488,30287,5556.0
Scenario 3,Camp 6,1.0,40.0,0.25,1.0,1698.4,2074.0,4400.604760319752,30287,3800.0
Scenario 3,Camp 7,1.0,40.0,0.25,1.0,2174.4,1628.42,5633.571958879003,30287,4866.0
Scenario 30,Camp 1,1.33,30.0,0.75,1.0,428.4,2882.1,1180.1673344821163,22772,764.0
Scenario 30,Camp 2,1.33,30.0,0.75,1.0,642.6,2860.68,1769.3372282552214,22772,1146.0
Scenario 30,Camp 3,1.33,30.0,0.75,1.0,1071.0,2817.84,2947.6766384367143,22772,1908.0
Scenario 30,Camp 4,1.33,30.0,0.75,1.0,4282.8,4500.96,11781.919938820485,22772,7630.0
Scenario 30,Camp 5,1.33,30.0,0.75,1.0,2483.6,742.52,6833.115450425439,22772,4424.0
Scenario 30,Camp 6,1.33,30.0,0.75,1.0,1698.4,2074.0,4673.377029926589,22772,3026.0
Scenario 30,Camp 7,1.33,30.0,0.75,1.0,2174.4,1628.42,5982.642813499203,22772,3874.0
Scenario 31,Camp 1,1.33,40.0,0.75,1.0,428.4,2882.1,1272.9750108589878,22772,764.0
Scenario 31,Camp 2,1.33,40.0,0.75,1.0,642.6,2860.68,1908.4768842036888,22772,1146.0
Scenario 31,Camp 3,1.33,40.0,0.75,1.0,1071.0,2817.84,3179.48022385263,22772,1908.0
Scenario 31,Camp 4,1.33,40.0,0.75,1.0,4282.8,4500.96,12708.443306169991,22772,7630.0
Scenario 31,Camp 5,1.33,40.0,0.75,1.0,2483.6,742.52,7370.467696026416,22772,4424.0
Scenario 31,Camp 6,1.33,40.0,0.75,1.0,1698.4,2074.0,5040.888695694613,22772,3026.0
Scenario 31,Camp 7,1.33,40.0,0.75,1.0,2174.4,1628.42,6453.114382988371,22772,3874.0
Scenario 32,Camp 1,1.33,50.0,0.75,1.0,428.4,2882.1,1344.9622373116413,22772,764.0
Scenario 32,Camp 2,1.33,50.0,0.75,1.0,642.6,2860.68,2016.401986009198,22772,1146.0
Scenario 32,Camp 3,1.33,50.0,0.75,1.0,1071.0,2817.84,3359.281053345556,22772,1908.0
Scenario 32,Camp 4,1.33,50.0,0.75,1.0,4282.8,4500.96,13427.110662825045,22772,7630.0
Scenario 32,Camp 5,1.33,50.0,0.75,1.0,2483.6,742.52,7787.270478932415,22772,4424.0
Scenario 32,Camp 6,1.33,50.0,0.75,1.0,1698.4,2074.0,5325.952890171395,22772,3026.0
Scenario 32,Camp 7,1.33,50.0,0.75,1.0,2174.4,1628.42,6818.040483226264,22772,3874.0
Scenario 33,Camp 1,2.0,20.0,0.75,1.0,428.4,2882.1,533.5084932201809,15143,508.0
Scenario 33,Camp 2,2.0,20.0,0.75,1.0,642.6,2860.68,799.6423164099059,15143,762.0
Scenario 33,Camp 3,2.0,20.0,0.75,1.0,1071.0,2817.84,1331.9095779512675,15143,1270.0
Scenario 33,Camp 4,2.0,20.0,0.75,1.0,4282.8,4500.96,5322.421456502039,15143,5073.0
Scenario 33,Camp 5,2.0,20.0,0.75,1.0,2483.6,742.52,3086.9993643442253,15143,2942.0
Scenario 33,Camp 6,2.0,20.0,0.75,1.0,1698.4,2074.0,2111.424936620562,15143,2012.0
Scenario 33,Camp 7,2.0,20.0,0.75,1.0,2174.4,1628.42,2702.8327725950503,15143,2576.0
