Scenarios,Camps Name,Mu,delta_D,alpha,delta_R,lambda_C,lambda_S,omega,Supply,Optimal Allocated Aid
Scenario 12,Camp 3,2.0,50.0,0.25,1.0,1071.0,2817.84,1053.836185339,12226,1024.0
Scenario 12,Camp 4,2.0,50.0,0.25,1.0,4282.8,4500.96,4211.217050570513,12226,4096.0
Scenario 12,Camp 5,2.0,50.0,0.25,1.0,2483.6,742.52,2442.5018695852227,12226,2376.0
Scenario 12,Camp 6,2.0,50.0,0.25,1.0,1698.4,2074.0,1670.6059012357864,12226,1624.0
Scenario 12,Camp 7,2.0,50.0,0.25,1.0,2174.4,1628.42,2138.5408032443906,12226,2080.0
Scenario 13,Camp 1,1.0,20.0,0.5,1.0,428.4,2882.1,1284.8689900698207,24452,820.0
Scenario 13,Camp 2,1.0,20.0,0.5,1.0,642.6,2860.68,1926.555036933504,24452,1230.0
Scenario 13,Camp 3,1.0,20.0,0.5,1.0,1071.0,2817.84,3209.926898127164,24452,2050.0
Scenario 13,Camp 4,1.0,20.0,0.5,1.0,4282.8,4500.96,12831.619989033135,24452,8192.0
Scenario 13,Camp 5,1.0,20.0,0.5,1.0,2483.6,742.52,7441.698440237874,24452,4750.0
Scenario 13,Camp 6,1.0,20.0,0.5,1.0,1698.4,2074.0,5089.449412596093,24452,3250.0
Scenario 13,Camp 7,1.0,20.0,0.5,1.0,2174.4,1628.42,6515.4180069675795,24452,4160.0
Scenario 14,Camp 1,1.0,30.0,0.5,1.0,428.4,2882.1,1458.7728961573414,24452,820.0
Scenario 14,Camp 2,1.0,30.0,0.5,1.0,642.6,2860.68,2187.3095954174146,24452,1230.0
Scenario 14,Camp 3,1.0,30.0,0.5,1.0,1071.0,2817.84,3644.38272993098,24452,2050.0
Scenario 14,Camp 4,1.0,30.0,0.5,1.0,4282.8,4500.96,14568.34867870469,24452,8192.0
Scenario 14,Camp 5,1.0,30.0,0.5,1.0,2483.6,742.52,8448.91430168726,24452,4750.0
Scenario 14,Camp 6,1.0,30.0,0.5,1.0,1698.4,2074.0,5778.294064872433,24452,3250.0
Scenario 14,Camp 7,1.0,30.0,0.5,1.0,2174.4,1628.42,7397.2640550561555,24452,4160.0
Scenario 15,Camp 1,1.0,40.0,0.5,1.0,428.4,2882.1,1582.1596811365603,24452,820.0
Scenario 15,Camp 2,1.0,40.0,0.5,1.0,642.6,2860.68,2372.3178989331122,24452,1230.0
Scenario 15,Camp 3,1.0,40.0,0.5,1.0,1071.0,2817.84,3952.6340481892757,24452,2050.0
Scenario 15,Camp 4,1.0,40.0,0.5,1.0,4282.8,4500.96,15800.577294040671,24452,8192.0
Scenario 15,Camp 5,1.0,40.0,0.5,1.0,2483.6,742.52,9163.54532821388,24452,4750.0
Scenario 15,Camp 6,1.0,40.0,0.5,1.0,1698.4,2074.0,6267.037123649563,24452,3250.0
Scenario 15,Camp 7,1.0,40.0,0.5,1.0,2174.4,1628.42,8022.9437834086575,24452,4160.0
Scenario 16,Camp 1,1.0,50.0,0.5,1.0,428.4,2882.1,1677.865906939423,24452,820.0
Scenario 16,Camp 2,1.0,50.0,0.5,1.0,642.6,2860.68,2515.8214878681842,24452,1230.0
Scenario 16,Camp 3,1.0,50.0,0.5,1.0,1071.0,2817.84,4191.732346067994,24452,2050.0
Scenario 16,Camp 4,1.0,50.0,0.5,1.0,4282.8,4500.96,16756.368063043665,24452,8192.0
Scenario 16,Camp 5,1.0,50.0,0.5,1.0,2483.6,742.52,9717.85621654773,24452,4750.0
Scenario 16,Camp 6,1.0,50.0,0.5,1.0,1698.4,2074.0,6646.135692031777,24452,3250.0
Scenario 16,Camp 7,1.0,50.0,0.5,1.0,2174.4,1628.42,8508.258684611925,24452,4160.0
Scenario 17,Camp 1,1.33,20.0,0.5,1.0,428.4,2882.1,802.9363295543967,18385,616.0
Scenario 17,Camp 2,1.33,20.0,0.5,1.0,642.6,2860.68,1203.7828012098105,18385,924.0
Scenario 17,Camp 3,1.33,20.0,0.5,1.0,1071.0,2817.84,2005.47548777752,18385,1540.0
Scenario 17,Camp 4,1.33,20.0,0.5,1.0,4282.8,4500.96,8015.923907037809,18385,6160.0
Scenario 17,Camp 5,1.33,20.0,0.5,1.0,2483.6,742.52,4648.965005961348,18385,3573.0
Scenario 17,Camp 6,1.33,20.0,0.5,1.0,1698.4,2074.0,3179.569616438952,18385,2444.0
Scenario 17,Camp 7,1.33,20.0,0.5,1.0,2174.4,1628.42,4070.3391132360066,18385,3128.0
Scenario 18,Camp 1,1.33,30.0,0.5,1.0,428.4,2882.1,933.7414027197503,18385,616.0
Scenario 18,Camp 2,1.33,30.0,0.5,1.0,642.6,2860.68,1399.889131925758,18385,924.0
Scenario 18,Camp 3,1.33,30.0,0.5,1.0,1071.0,2817.84,2332.1842917690446,18385,1541.0
Scenario 18,Camp 4,1.33,30.0,0.5,1.0,4282.8,4500.96,9321.785249405868,18385,6160.0
Scenario 18,Camp 5,1.33,30.0,0.5,1.0,2483.6,742.52,5406.320459145815,18385,3572.0
Scenario 18,Camp 6,1.33,30.0,0.5,1.0,1698.4,2074.0,3697.5482169880706,18385,2444.0
Scenario 18,Camp 7,1.33,30.0,0.5,1.0,2174.4,1628.42,4733.431547738393,18385,3128.0
Scenario 19,Camp 1,1.33,40.0,0.5,1.0,428.4,2882.1,1026.5490790966219,18385,616.0
Scenario 19,Camp 2,1.33,40.0,0.5,1.0,642.6,2860.68,1539.0287878742251,18385,924.0
Scenario 19,Camp 3,1.33,40.0,0.5,1.0,1071.0,2817.84,2563.9878771849603,18385,1541.0
Scenario 19,Camp 4,1.33,40.0,0.5,1.0,4282.8,4500.96,10248.308616755374,18385,6160.0
Scenario 19,Camp 5,1.33,40.0,0.5,1.0,2483.6,742.52,5943.672704746792,18385,3572.0
Scenario 19,Camp 6,1.33,40.0,0.5,1.0,1698.4,2074.0,4065.059882756095,18385,2444.0
Scenario 19,Camp 7,1.33,40.0,0.5,1.0,2174.4,1628.42,5203.903117227562,18385,3128.0
Scenario 2,Camp 1,1.0,30.0,0.25,1.0,428.4,2882.1,987.5782990030812,24452,816.0
Scenario 2,Camp 2,1.0,30.0,0.25,1.0,642.6,2860.68,1480.792174933896,24452,1220.000000558447
Scenario 2,Camp 3,1.0,30.0,0.25,1.0,1071.0,2817.84,2467.2197480650525,24452,2034.000000695176
Scenario 2,Camp 4,1.0,30.0,0.25,1.0,4282.8,4500.96,9862.6626840256,24452,8225.999998746374
Scenario 2,Camp 5,1.0,30.0,0.25,1.0,2483.6,742.52,5719.851552261867,24452,4718.0
Scenario 2,Camp 6,1.0,30.0,0.25,1.0,1698.4,2074.0,3911.861701542623,24452,3262.0
Scenario 2,Camp 7,1.0,30.0,0.25,1.0,2174.4,1628.42,5007.892230526501,24452,4176.0
Scenario 20,Camp 1,1.33,50.0,0.5,1.0,428.4,2882.1,1098.536305549275,18385,616.0
Scenario 20,Camp 2,1.33,50.0,0.5,1.0,642.6,2860.68,1646.9538896797342,18385,924.0
Scenario 20,Camp 3,1.33,50.0,0.5,1.0,1071.0,2817.84,2743.7887066778862,18385,1541.0
Scenario 20,Camp 4,1.33,50.0,0.5,1.0,4282.8,4500.96,10966.975973410426,18385,6160.0
Scenario 20,Camp 5,1.33,50.0,0.5,1.0,2483.6,742.52,6360.47548765279,18385,3572.0
Scenario 20,Camp 6,1.33,50.0,0.5,1.0,1698.4,2074.0,4350.124077232876,18385,2444.0
Scenario 20,Camp 7,1.33,50.0,0.5,1.0,2174.4,1628.42,5568.829217465454,18385,3128.0
Scenario 21,Camp 1,2.0,20.0,0.5,1.0,428.4,2882.1,407.31092440865274,12226,407.31092440865274
Scenario 21,Camp 2,2.0,20.0,0.5,1.0,642.6,2860.68,610.4927198577443,12226,610.4927198577443
Scenario 21,Camp 3,2.0,20.0,0.5,1.0,1071.0,2817.84,1016.8560169485006,12226,1016.8560169485006
Scenario 21,Camp 4,2.0,20.0,0.5,1.0,4282.8,4500.96,4063.441221816878,12226,4063.441221816878
Scenario 21,Camp 5,2.0,20.0,0.5,1.0,2483.6,742.52,2356.792029965021,12226,2452.419189654631
Scenario 21,Camp 6,2.0,20.0,0.5,1.0,1698.4,2074.0,1611.9826650997184,12226,1611.9826650997184
Scenario 21,Camp 7,2.0,20.0,0.5,1.0,2174.4,1628.42,2063.497262213873,12226,2063.497262213873
Scenario 22,Camp 1,2.0,30.0,0.5,1.0,428.4,2882.1,494.3641257426343,12226,410.0
Scenario 22,Camp 2,2.0,30.0,0.5,1.0,642.6,2860.68,740.9712866476343,12226,616.0
Scenario 22,Camp 3,2.0,30.0,0.5,1.0,1071.0,2817.84,1234.1852518557291,12226,1024.0
Scenario 22,Camp 4,2.0,30.0,0.5,1.0,4282.8,4500.96,4931.906921098551,12226,4096.0
Scenario 22,Camp 5,2.0,30.0,0.5,1.0,2483.6,742.52,2860.5013065692156,12226,2376.0
Scenario 22,Camp 6,2.0,30.0,0.5,1.0,1698.4,2074.0,1956.5063276937112,12226,1624.0
Scenario 22,Camp 7,2.0,30.0,0.5,1.0,2174.4,1628.42,2504.521629238702,12226,2080.0
Scenario 23,Camp 1,2.0,40.0,0.5,1.0,428.4,2882.1,556.1293550373858,12226,410.0
Scenario 23,Camp 2,2.0,40.0,0.5,1.0,642.6,2860.68,833.5473030644163,12226,616.0
Scenario 23,Camp 3,2.0,40.0,0.5,1.0,1071.0,2817.84,1388.38279796318,12226,1024.0
Scenario 23,Camp 4,2.0,40.0,0.5,1.0,4282.8,4500.96,5548.093140890333,12226,4096.0
Scenario 23,Camp 5,2.0,40.0,0.5,1.0,2483.6,742.52,3217.8887258783643,12226,2376.0
Scenario 23,Camp 6,2.0,40.0,0.5,1.0,1698.4,2074.0,2200.949756441908,12226,1624.0
Scenario 23,Camp 7,2.0,40.0,0.5,1.0,2174.4,1628.42,2817.4333974039464,12226,2080.0
Scenario 24,Camp 1,2.0,50.0,0.5,1.0,428.4,2882.1,604.0381888938209,12226,410.0
Scenario 24,Camp 2,2.0,50.0,0.5,1.0,642.6,2860.68,905.3548400920347,12226,616.0
Scenario 24,Camp 3,2.0,50.0,0.5,1.0,1071.0,2817.84,1507.9877067748703,12226,1024.0
Scenario 24,Camp 4,2.0,50.0,0.5,1.0,4282.8,4500.96,6026.044304768518,12226,4096.0
Scenario 24,Camp 5,2.0,50.0,0.5,1.0,2483.6,742.52,3495.0999447075496,12226,2376.0
Scenario 24,Camp 6,2.0,50.0,0.5,1.0,1698.4,2074.0,2390.5548101090503,12226,1624.0
Scenario 24,Camp 7,2.0,50.0,0.5,1.0,2174.4,1628.42,3060.146621072428,12226,2080.0
Scenario 25,Camp 1,1.0,20.0,0.75,1.0,428.4,2882.1,1756.0635872240807,24452,820.0
Scenario 25,Camp 2,1.0,20.0,0.75,1.0,642.6,2860.68,2633.072457417022,24452,1230.0
Scenario 25,Camp 3,1.0,20.0,0.75,1.0,1071.0,2817.84,4387.089879993091,24452,2050.0
Scenario 25,Camp 4,1.0,20.0,0.75,1.0,4282.8,4500.96,17537.305983712224,24452,8192.0
Scenario 25,Camp 5,1.0,20.0,0.75,1.0,2483.6,742.52,10170.761189663264,24452,4750.0
Scenario 25,Camp 6,1.0,20.0,0.75,1.0,1698.4,2074.0,6955.881775925903,24452,3250.0
Scenario 25,Camp 7,1.0,20.0,0.75,1.0,2174.4,1628.42,8904.789831497232,24452,4160.0
Scenario 26,Camp 1,1.0,30.0,0.75,1.0,428.4,2882.1,1929.9674933116014,24452,820.0
Scenario 26,Camp 2,1.0,30.0,0.75,1.0,642.6,2860.68,2893.827015900933,24452,1230.0
Scenario 26,Camp 3,1.0,30.0,0.75,1.0,1071.0,2817.84,4821.545711796907,24452,2050.0
Scenario 26,Camp 4,1.0,30.0,0.75,1.0,4282.8,4500.96,19274.034673383776,24452,8192.0
Scenario 26,Camp 5,1.0,30.0,0.75,1.0,2483.6,742.52,11177.97705111265,24452,4750.0
Scenario 26,Camp 6,1.0,30.0,0.75,1.0,1698.4,2074.0,7644.726428202243,24452,3250.0
Scenario 26,Camp 7,1.0,30.0,0.75,1.0,2174.4,1628.42,9786.635879585809,24452,4160.0
Scenario 27,Camp 1,1.0,40.0,0.75,1.0,428.4,2882.1,2053.3542782908203,24452,820.0
Scenario 27,Camp 2,1.0,40.0,0.75,1.0,642.6,2860.68,3078.8353194166307,24452,1230.0
Scenario 27,Camp 3,1.0,40.0,0.75,1.0,1071.0,2817.84,5129.797030055203,24452,2050.0
Scenario 27,Camp 4,1.0,40.0,0.75,1.0,4282.8,4500.96,20506.263288719758,24452,8192.0
Scenario 27,Camp 5,1.0,40.0,0.75,1.0,2483.6,742.52,11892.608077639272,24452,4750.0
Scenario 27,Camp 6,1.0,40.0,0.75,1.0,1698.4,2074.0,8133.469486979373,24452,3250.0
Scenario 27,Camp 7,1.0,40.0,0.75,1.0,2174.4,1628.42,10412.31560793831,24452,4160.0
Scenario 28,Camp 1,1.0,50.0,0.75,1.0,428.4,2882.1,2149.060504093683,24452,820.0
Scenario 28,Camp 2,1.0,50.0,0.75,1.0,642.6,2860.68,3222.3389083517027,24452,1230.0
Scenario 28,Camp 3,1.0,50.0,0.75,1.0,1071.0,2817.84,5368.895327933921,24452,2050.0
Scenario 28,Camp 4,1.0,50.0,0.75,1.0,4282.8,4500.96,21462.05405772275,24452,8192.0
Scenario 28,Camp 5,1.0,50.0,0.75,1.0,2483.6,742.52,12446.91896597312,24452,4750.0
Scenario 28,Camp 6,1.0,50.0,0.75,1.0,1698.4,2074.0,8512.568055361586,24452,3250.0
Scenario 28,Camp 7,1.0,50.0,0.75,1.0,2174.4,1628.42,10897.630509141578,24452,4160.0
Scenario 29,Camp 1,1.33,20.0,0.75,1.0,428.4,2882.1,1049.362261316763,18385,616.0
Scenario 29,Camp 2,1.33,20.0,0.75,1.0,642.6,2860.68,1573.2308975392739,18385,924.0
Scenario 29,Camp 3,1.33,20.0,0.75,1.0,1071.0,2817.84,2620.9678344451895,18385,1541.0
Scenario 29,Camp 4,1.33,20.0,0.75,1.0,4282.8,4500.96,10476.058596452425,18385,6160.0
Scenario 29,Camp 5,1.33,20.0,0.75,1.0,2483.6,742.52,6075.759997240973,18385,3572.0
Scenario 29,Camp 6,1.33,20.0,0.75,1.0,1698.4,2074.0,4155.39842937747,18385,2444.0
Scenario 29,Camp 7,1.33,20.0,0.75,1.0,2174.4,1628.42,5319.550378996815,18385,3128.0
Scenario 3,Camp 1,1.0,40.0,0.25,1.0,428.4,2882.1,1110.9650839823,24452,820.0
Scenario 3,Camp 2,1.0,40.0,0.25,1.0,642.6,2860.68,1665.8004784495936,24452,1230.0
Scenario 3,Camp 3,1.0,40.0,0.25,1.0,1071.0,2817.84,2775.471066323348,24452,2050.0
Scenario 3,Camp 4,1.0,40.0,0.25,1.0,4282.8,4500.96,11094.891299361581,24452,8192.0
Scenario 3,Camp 5,1.0,40.0,0.25,1.0,2483.6,742.52,6434.482578788488,24452,4750.0
Scenario 3,Camp 6,1.0,40.0,0.25,1.0,1698.4,2074.0,4400.604760319752,24452,3250.0
Scenario 3,Camp 7,1.0,40.0,0.25,1.0,2174.4,1628.42,5633.571958879003,24452,4160.0
Scenario 30,Camp 1,1.33,30.0,0.75,1.0,428.4,2882.1,1180.1673344821163,18385,616.0
Scenario 30,Camp 2,1.33,30.0,0.75,1.0,642.6,2860.68,1769.3372282552214,18385,924.0
Scenario 30,Camp 3,1.33,30.0,0.75,1.0,1071.0,2817.84,2947.6766384367143,18385,1541.0
Scenario 30,Camp 4,1.33,30.0,0.75,1.0,4282.8,4500.96,11781.919938820485,18385,6160.0
Scenario 30,Camp 5,1.33,30.0,0.75,1.0,2483.6,742.52,6833.115450425439,18385,3572.0
Scenario 30,Camp 6,1.33,30.0,0.75,1.0,1698.4,2074.0,4673.377029926589,18385,2444.0
Scenario 30,Camp 7,1.33,30.0,0.75,1.0,2174.4,1628.42,5982.642813499203,18385,3128.0
Scenario 31,Camp 1,1.33,40.0,0.75,1.0,428.4,2882.1,1272.9750108589878,18385,616.0
Scenario 31,Camp 2,1.33,40.0,0.75,1.0,642.6,2860.68,1908.4768842036888,18385,924.0
Scenario 31,Camp 3,1.33,40.0,0.75,1.0,1071.0,2817.84,3179.48022385263,18385,1541.0
Scenario 31,Camp 4,1.33,40.0,0.75,1.0,4282.8,4500.96,12708.443306169991,18385,6160.0
Scenario 31,Camp 5,1.33,40.0,0.75,1.0,2483.6,742.52,7370.467696026416,18385,3572.0
Scenario 31,Camp 6,1.33,40.0,0.75,1.0,1698.4,2074.0,5040.888695694613,18385,2444.0
Scenario 31,Camp 7,1.33,40.0,0.75,1.0,2174.4,1628.42,6453.114382988371,18385,3128.0
Scenario 32,Camp 1,1.33,50.0,0.75,1.0,428.4,2882.1,1344.9622373116413,18385,616.0
Scenario 32,Camp 2,1.33,50.0,0.75,1.0,642.6,2860.68,2016.401986009198,18385,924.0
Scenario 32,Camp 3,1.33,50.0,0.75,1.0,1071.0,2817.84,3359.281053345556,18385,1541.0
Scenario 32,Camp 4,1.33,50.0,0.75,1.0,4282.8,4500.96,13427.110662825045,18385,6160.0
Scenario 32,Camp 5,1.33,50.0,0.75,1.0,2483.6,742.52,7787.270478932415,18385,3572.0
Scenario 32,Camp 6,1.33,50.0,0.75,1.0,1698.4,2074.0,5325.952890171395,18385,2444.0
Scenario 32,Camp 7,1.33,50.0,0.75,1.0,2174.4,1628.42,6818.040483226264,18385,3128.0
Scenario 33,Camp 1,2.0,20.0,0.75,1.0,428.4,2882.1,533.5084932201809,12226,410.0
Scenario 33,Camp 2,2.0,20.0,0.75,1.0,642.6,2860.68,799.6423164099059,12226,616.0
Scenario 33,Camp 3,2.0,20.0,0.75,1.0,1071.0,2817.84,1331.9095779512675,12226,1024.0
Scenario 33,Camp 4,2.0,20.0,0.75,1.0,4282.8,4500.96,5322.421456502039,12226,4096.0
Scenario 33,Camp 5,2.0,20.0,0.75,1.0,2483.6,742.52,3086.9993643442253,12226,2376.0
Scenario 33,Camp 6,2.0,20.0,0.75,1.0,1698.4,2074.0,2111.424936620562,12226,1624.0
