Scenarios,Camps Name,Mu,delta_D,alpha,delta_R,lambda_C,lambda_S,omega,Supply,Optimal Allocated Aid
Scenario 104,Camp 7,2,50,0.75,3,2174.4,1628.42,2504.521629,15144,2614
Scenario 104,Camp 1,2,50,0.75,3,428.4,2882.1,494.3641257,18930,668
Scenario 104,Camp 2,2,50,0.75,3,642.6,2860.68,740.9712866,18930,988
Scenario 104,Camp 3,2,50,0.75,3,1071,2817.84,1234.185252,18930,1620
Scenario 104,Camp 4,2,50,0.75,3,4282.8,4500.96,4931.906921,18930,6334
Scenario 104,Camp 5,2,50,0.75,3,2483.6,742.52,2860.501307,18930,3604
Scenario 104,Camp 6,2,50,0.75,3,1698.4,2074,1956.506328,18930,2520
Scenario 104,Camp 7,2,50,0.75,3,2174.4,1628.42,2504.521629,18930,3196
Scenario 105,Camp 1,6,20,0.75,3,428.4,2882.1,-3.507956254,3786,106
Scenario 105,Camp 2,6,20,0.75,3,642.6,2860.68,-5.249783878,3786,196
Scenario 105,Camp 3,6,20,0.75,3,1071,2817.84,-8.733416672,3786,352
Scenario 105,Camp 4,6,20,0.75,3,4282.8,4500.96,-34.85080857,3786,1310
Scenario 105,Camp 5,6,20,0.75,3,2483.6,742.52,-20.22026056,3786,656
Scenario 105,Camp 6,6,20,0.75,3,1698.4,2074,-13.83524988,3786,530
Scenario 105,Camp 7,6,20,0.75,3,2174.4,1628.42,-17.70593937,3786,636
Scenario 105,Camp 1,6,20,0.75,3,428.4,2882.1,-3.507956254,5048,244
Scenario 105,Camp 2,6,20,0.75,3,642.6,2860.68,-5.249783878,5048,342
Scenario 105,Camp 3,6,20,0.75,3,1071,2817.84,-8.733416672,5048,514
Scenario 105,Camp 4,6,20,0.75,3,4282.8,4500.96,-34.85080857,5048,1676
Scenario 105,Camp 5,6,20,0.75,3,2483.6,742.52,-20.22026056,5048,790
Scenario 105,Camp 6,6,20,0.75,3,1698.4,2074,-13.83524988,5048,686
Scenario 105,Camp 7,6,20,0.75,3,2174.4,1628.42,-17.70593937,5048,796
Scenario 105,Camp 1,6,20,0.75,3,428.4,2882.1,-3.507956254,6310,382
Scenario 105,Camp 2,6,20,0.75,3,642.6,2860.68,-5.249783878,6310,488
